direction_id,dataset,model_name,stage,stage_label,windows,cycle_start,cycle_end,TES_event_count,TES_high_confidence_event_count,AWR_median,AWR_P10,AWR_P90,AWR_smooth_median,AWR_smooth_P10,AWR_smooth_P90,BDall_xy_v2_median,BDall_xy_v2_P10,BDall_xy_v2_P90,BDx_v2_median,BDx_v2_P10,BDx_v2_P90,BDy_v2_median,BDy_v2_P10,BDy_v2_P90,BDshape_v2_median,BDshape_v2_P10,BDshape_v2_P90,RS_trend50_median,RS_trend50_P10,RS_trend50_P90,TES_median,TES_P10,TES_P90,TES_smooth_median,TES_smooth_P10,TES_smooth_P90,low_AWR_low_BD_count,low_AWR_low_BD_rate,low_AWR_high_BD_count,low_AWR_high_BD_rate,high_AWR_high_BD_count,high_AWR_high_BD_rate,high_AWR_low_BD_count,high_AWR_low_BD_rate
Exp2_to_Exp1,Exp1,M0,1,Stage 1,1511,1.0,7570.0,0,0,-4.177328533436433,-4.655125095380009,-1.9165638210684368,-4.166464862320751,-4.652721410322706,-1.907308872999988,3.566315749821295,1.3824414731694985,4.413881155505185,4.814773450523494,2.0608330658525635,5.131204413222233,2.4627446506091912,0.7990984562171016,3.707285694791521,0.2709296415941725,0.2284340778473004,0.3645668562089088,-0.0014359694646902278,-0.013225183074311746,0.0011144526145385164,0.23537645012411415,0.0,1.1106532706709884,0.2480621029625524,0.033082064235894854,0.9938630811067999,1492,0.9874255459960292,19,0.01257445400397088,0,0.0,0,0.0
Exp2_to_Exp1,Exp1,M0,2,Stage 2,2710,7556.0,21120.0,5,1,0.7537026929778405,-2.2031075092027077,1.9829488286867492,0.7535558949189872,-2.2001675829209915,1.981525895812214,5.615852248603883,5.105505901501726,5.908208970525992,4.97403949729053,4.238205250433507,5.485662468417029,6.06564648469479,5.70764670312617,6.8501104586573565,2.2360419625402654,1.3157438729204693,5.256024487590676,-0.0013808998096700841,-0.006263134191078827,0.005679962270068208,0.3445576051127313,0.0,3.1546142792750183,0.527239356751747,0.03928227060496534,2.8974503917702443,109,0.040221402214022144,2601,0.9597785977859778,0,0.0,0,0.0
Exp2_to_Exp1,Exp1,M0,3,Stage 3,1343,21106.0,27835.0,5,0,0.4729181835642941,-0.18833737547131693,1.5156425232243769,0.4948249714119331,-0.1892815599182633,1.4940980522389613,7.5487718550585585,5.427094375387857,8.029318428686823,8.30350554306697,6.431531189568436,9.039908889089963,6.826247386492427,4.554810894667499,7.02360973972779,4.972673905167355,3.9396278178744546,6.573031982328414,-0.000997263067473846,-0.006932738696438701,0.002038903613205717,0.35339822553908273,0.0,6.795491234132797,0.7205740511501378,0.032185309696178756,6.170909636717015,0,0.0,1343,1.0,0,0.0,0,0.0
Exp2_to_Exp1,Exp1,M0,4,Stage 4,1352,27821.0,34595.0,1,0,2.2148266888767427,1.403756182881647,3.3179097115068887,2.2038521671417923,1.4069515320221315,3.29817737044678,3.428840776650289,3.0925519261851577,3.635239603163771,2.6458170920250748,1.7524681331124967,3.0047848839767037,4.264601961714313,3.9808839102930684,4.603608473912598,1.513873318205612,1.3917129446790997,1.805914916832435,0.00037750168714066504,-0.007976837301635533,0.013531324066149082,0.2927983087061782,0.0,2.133651829043724,0.40696364803092683,0.008932073740495042,1.9257284717307221,1295,0.9578402366863905,3,0.0022189349112426036,0,0.0,54,0.03994082840236687
Exp2_to_Exp1,Exp1,M0,5,Stage 5,2199,34581.0,45590.0,8,4,2.564179138573537,1.5919932412673998,5.246828760206619,2.5625798357506726,1.5947103214626308,5.245014771788742,7.049551171305776,6.762528071023059,7.486278253700755,6.085888868885439,3.5186333270918526,6.9332849988890155,8.249971204418655,7.0850757010949765,10.37022290782702,3.6080350682832303,2.8041385446922225,8.092661336698743,-0.0017001876304607144,-0.006803065589566957,0.004159161990235288,0.28711942542061886,0.0,4.728915387626327,0.6194603388003107,0.0,3.980676382449932,0,0.0,1573,0.715325147794452,624,0.2837653478854025,2,0.0009095043201455207
Exp2_to_Exp1,Exp2,M0,1,Stage 1,597,1.0,3000.0,2,1,-0.8833586148810889,-1.3702348920472647,0.8127350029106847,-0.877075677521951,-1.3689825109402023,0.7240774483222016,1.2518077752590715,0.645647670341397,1.5885347722868914,1.2986535898685023,0.5112480782517148,1.7089569390948989,1.223197932663553,0.5861154085110062,1.5309986579547914,1.297902792099522,0.37598663685691225,5.427703117729325,-0.0026242088681444177,-0.016761199305801038,0.02000736151747958,0.44879077512223253,0.0,2.4908704109873865,0.4674333150922381,0.05466920790194881,2.8078492561548845,589,0.9865996649916248,8,0.01340033500837521,0,0.0,0,0.0
Exp2_to_Exp1,Exp2,M0,2,Stage 2,600,2986.0,6000.0,1,0,1.4857764222945313,0.9089656113460346,2.657364770365521,1.4822539841425686,0.9089656113460346,2.658022875307904,2.152202925316396,1.7308333674572787,2.6576067745155103,3.075340200334212,2.141612450327789,4.306802013910403,1.2446277767030631,0.9501194355166942,1.5001508669995693,7.284197918457137,5.554284525589665,8.377835542992264,0.0005984724767247585,-0.013709718902988256,0.016853258358220765,0.4456790858822057,0.0,2.304692089408206,0.47162622406739807,0.01430851940961014,2.3946521210296132,77,0.12833333333333333,523,0.8716666666666667,0,0.0,0,0.0
Exp2_to_Exp1,Exp2,M0,3,Stage 3,540,5986.0,8700.0,1,0,0.5582755980800113,-0.32588776235056643,1.1657764484924396,0.5583373888970522,-0.3267538385564442,1.171806886826206,0.8328836072141792,0.36237394230526665,1.6647158862575042,0.9568954851645177,0.31905727355087593,1.4494255155538802,0.7591360046825186,0.2535921419937483,2.336578305313874,2.561688439398084,1.270487134239382,3.3672695610559433,-0.0058049310071673944,-0.013800957494301675,0.015149003595263867,0.30530191500392545,0.0,2.068828173458545,0.31896407993795145,0.012860103929526167,2.1652092965492447,518,0.9592592592592593,22,0.040740740740740744,0,0.0,0,0.0
Exp2_to_Exp1,Exp2,M0,4,Stage 4,600,8686.0,11700.0,2,2,2.7525518464513485,1.8363563583470346,4.165312912801374,2.750978566290406,1.8367064370335668,4.165312912801374,2.776508484709491,1.8619289358289786,3.5497807068637544,3.9898187707667665,2.5671398318278245,5.6811891243574015,1.3484865458459796,0.5298287737240971,2.224591066039304,8.891272598826045,3.957519947652237,10.340802480181011,0.007210527945784147,-0.028988423370754815,0.023900051089319873,0.9110002667275152,0.0,5.677792086075443,1.0961023125289024,0.04304719446641717,5.208311285031414,28,0.04666666666666667,550,0.9166666666666666,22,0.03666666666666667,0,0.0
Exp2_to_Exp1,Exp2,M0,5,Stage 5,480,11686.0,14100.0,1,1,4.494374923513792,4.18197568602399,5.299811544563681,4.487840955263335,4.181893415799417,5.299811544563681,4.142675255871622,3.5468673238058157,4.603114203500522,6.722663445495081,4.545019083324444,7.338323115193804,2.0476460207162708,1.2881832780437639,2.7265799186219186,9.758587821695903,9.039306925709065,11.034064794646232,0.003169344253723443,-0.012785610367990028,0.028772630376044574,0.45918900617569425,0.0,2.284376126507889,0.47401312567984244,0.0682136879932897,2.273340335208182,0,0.0,198,0.4125,282,0.5875,0,0.0
