direction,setting,seed,tolerance_actual_cycles,dataset,from_stage,to_stage,boundary_cycle,boundary_actual_cycle,event_id,event_peak_cycle,event_peak_actual_cycle,peak_score,absolute_detection_delay,match_status
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,3.0,2170.5,4111.296438082556,1.0350976445534124,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,4.0,2750.5,5076.482856191745,1.0953485445181268,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,6.0,4550.5,8075.833333333334,1.3810261408413278,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,7.0,5150.5,9075.833333333334,2.8186986533574117,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,8.0,5620.5,9859.166666666668,0.7107641911514466,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,10.0,6955.5,12084.166666666666,3.9971327345171876,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,11.0,7510.5,13009.166666666666,0.9586324751103061,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,12.0,7890.5,13642.5,1.0404066513386327,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,13.0,8110.5,14009.166666666666,2.915608349855692,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,14.0,10530.5,18042.5,6.9997843857171835,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,250.0,Exp2,,,,,15.0,12630.5,21545.72025052192,5.977314236702118,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,1.0,2.0,3005.0,5500.0,5.0,3080.5,5625.833333333333,3.699610651126944,125.83333333333303,MATCHED
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,2.0,3.0,6005.0,10500.0,9.0,6075.5,10617.5,3.1661588436666577,117.5,MATCHED
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,1.0,1510.5,3012.9808588548603,2.23930183711918,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,2.0,1870.5,3612.062083888149,1.437059875549383,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,3.0,2170.5,4111.296438082556,1.0350976445534124,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,4.0,2750.5,5076.482856191745,1.0953485445181268,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,6.0,4550.5,8075.833333333334,1.3810261408413278,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,7.0,5150.5,9075.833333333334,2.8186986533574117,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,8.0,5620.5,9859.166666666668,0.7107641911514466,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,10.0,6955.5,12084.166666666666,3.9971327345171876,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,11.0,7510.5,13009.166666666666,0.9586324751103061,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,12.0,7890.5,13642.5,1.0404066513386327,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,13.0,8110.5,14009.166666666666,2.915608349855692,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,14.0,10530.5,18042.5,6.9997843857171835,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,500.0,Exp2,,,,,15.0,12630.5,21545.72025052192,5.977314236702118,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,1.0,2.0,3005.0,5500.0,5.0,3080.5,5625.833333333333,3.699610651126944,125.83333333333303,MATCHED
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,2.0,3.0,6005.0,10500.0,9.0,6075.5,10617.5,3.1661588436666577,117.5,MATCHED
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,3.0,4.0,8705.0,15000.0,13.0,8110.5,14009.166666666666,2.915608349855692,990.8333333333339,MATCHED
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,1.0,1510.5,3012.9808588548603,2.23930183711918,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,2.0,1870.5,3612.062083888149,1.437059875549383,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,3.0,2170.5,4111.296438082556,1.0350976445534124,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,4.0,2750.5,5076.482856191745,1.0953485445181268,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,6.0,4550.5,8075.833333333334,1.3810261408413278,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,7.0,5150.5,9075.833333333334,2.8186986533574117,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,8.0,5620.5,9859.166666666668,0.7107641911514466,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,10.0,6955.5,12084.166666666666,3.9971327345171876,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,11.0,7510.5,13009.166666666666,0.9586324751103061,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,12.0,7890.5,13642.5,1.0404066513386327,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,14.0,10530.5,18042.5,6.9997843857171835,,unmatched_candidate_event
Exp1_to_Exp2,CalibrationOnly,3401,1000.0,Exp2,,,,,15.0,12630.5,21545.72025052192,5.977314236702118,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,3.0,4.0,8705.0,15000.0,14.0,8710.5,15009.166666666666,0.9793767545167681,9.16666666666606,MATCHED
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,4.0,5.0,11705.0,20000.0,23.0,11760.5,20092.693110647182,0.6304359514549649,92.69311064718204,MATCHED
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,1.0,950.5,2081.0767310252995,1.378475684668614,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,2.0,1250.5,2580.311085219707,0.7226137663861514,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,3.0,1525.5,3037.9425765645806,3.237640724970018,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,4.0,2450.5,4577.248501997337,0.9547876335780783,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,5.0,3080.5,5625.833333333333,3.327261377855658,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,6.0,3670.5,6609.166666666667,1.26582254314663,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,7.0,3980.5,7125.833333333333,1.4098606239099447,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,8.0,4545.5,8067.5,0.6775836785254372,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,9.0,5165.5,9100.833333333334,0.9348803830496453,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,10.0,6950.5,12075.833333333334,2.9052944137858407,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,11.0,7830.5,13542.5,0.8611813773692333,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,12.0,8110.5,14009.166666666666,0.7758186535655394,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,13.0,8465.5,14600.833333333332,0.7019300318522192,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,15.0,9330.5,16042.5,0.8149608057761378,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,16.0,9650.5,16575.833333333332,1.7618695972374656,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,17.0,9935.5,17050.833333333332,1.2228515755325076,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,18.0,10270.5,17609.166666666668,1.1750898637860927,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,19.0,10570.5,18109.166666666668,1.0612763949349207,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,20.0,10860.5,18592.5,1.2199708324903074,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,21.0,11170.5,19109.166666666668,0.880347242318776,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,22.0,11425.5,19534.166666666668,0.9756857169558095,,unmatched_candidate_event
Exp1_to_Exp2,OnlineAdaptation,3401,100.0,Exp2,,,,,24.0,13215.5,22522.75574112735,0.7618656857062095,,unmatched_candidate_event
