dataset,window_id,window_index,center_cycle,local_state_id,local_state_name,state_posterior,state_uncertainty,state_event,state_centre_provenance,selected_local_k,state_path_monotonic_constraint
Exp1,0,0,10.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,1,1,15.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,2,2,20.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,3,3,25.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,4,4,30.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,5,5,35.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,6,6,40.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,7,7,45.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,8,8,50.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,9,9,55.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,10,10,60.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,11,11,65.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,12,12,70.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,13,13,75.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
Exp1,14,14,80.5,-1,Exp1_CALIBRATION,"[0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667]",1.7917594692280547,LOCAL_CALIBRATION,local_experiment_only,6,False
